Datum;Last;Erzeugung
6.1.22 15:00;357.989;131.648
6.1.22 15:15;355.656;131.132
6.1.22 15:30;343.488;129.798
6.1.22 15:45;344.325;131.001
6.1.22 16:00;343.650;129.923
6.1.22 16:15;350.676;131.866
6.1.22 16:30;348.945;132.506
6.1.22 16:45;351.836;131.517
6.1.22 17:00;354.474;130.977
6.1.22 17:15;354.567;131.163
6.1.22 17:30;356.206;130.839
6.1.22 17:45;356.955;131.301
6.1.22 18:00;359.061;133.269
6.1.22 18:15;360.092;133.773
6.1.22 18:30;360.213;133.796
6.1.22 18:45;359.564;134.301
6.1.22 19:00;355.965;135.442
6.1.22 19:15;350.409;135.034
6.1.22 19:30;346.641;135.138
6.1.22 19:45;343.911;135.339
6.1.22 20:00;340.240;136.195
6.1.22 20:15;338.770;136.110
6.1.22 20:30;346.778;135.746
6.1.22 20:45;328.443;134.592
6.1.22 21:00;318.203;133.189
6.1.22 21:15;324.731;119.307
6.1.22 21:30;318.228;115.590
6.1.22 21:45;332.523;113.763
6.1.22 22:00;314.103;110.911
6.1.22 22:15;298.225;100.136
6.1.22 22:30;308.156;100.167
6.1.22 22:45;301.278;100.058
6.1.22 23:00;307.022;100.360
6.1.22 23:15;285.828;98.868
6.1.22 23:30;289.731;98.091
6.1.22 23:45;292.764;97.347
7.1.22 0:00;286.923;97.812
7.1.22 0:15;290.499;97.838
7.1.22 0:30;266.108;97.553
7.1.22 0:45;280.350;97.780
7.1.22 1:00;270.515;98.233
7.1.22 1:15;276.812;99.092
7.1.22 1:30;264.282;98.841
7.1.22 1:45;265.337;99.411
7.1.22 2:00;263.904;98.136
7.1.22 2:15;268.910;98.451
7.1.22 2:30;255.800;98.886
7.1.22 2:45;243.645;98.064
7.1.22 3:00;260.542;102.128
7.1.22 3:15;261.039;102.190
7.1.22 3:30;266.629;102.186
7.1.22 3:45;266.438;100.790
7.1.22 4:00;250.541;98.045
7.1.22 4:15;268.218;98.327
7.1.22 4:30;276.479;98.357
7.1.22 4:45;276.652;98.757
7.1.22 5:00;262.075;97.770
7.1.22 5:15;272.065;97.582
7.1.22 5:30;282.846;97.593
7.1.22 5:45;276.230;97.634
7.1.22 6:00;273.058;104.300
7.1.22 6:15;309.352;128.317
7.1.22 6:30;331.440;138.068
7.1.22 6:45;341.841;140.131
7.1.22 7:00;325.304;139.518
7.1.22 7:15;333.194;140.031
7.1.22 7:30;352.550;138.751
7.1.22 7:45;358.447;139.618
7.1.22 8:00;355.093;137.280
7.1.22 8:15;347.621;132.962
7.1.22 8:30;360.007;129.195
7.1.22 8:45;365.558;128.908
7.1.22 9:00;376.822;132.514
7.1.22 9:15;364.736;132.772
7.1.22 9:30;362.891;132.636
7.1.22 9:45;377.114;132.442
7.1.22 10:00;387.025;130.717
7.1.22 10:15;379.062;131.353
7.1.22 10:30;373.252;130.869
7.1.22 10:45;381.605;130.637
7.1.22 11:00;389.446;132.684
